,Unit#,SchoolID,School Name,2011,2012,2013,2014
0,7950,400010.0,ACE TECHNICAL CHARTER HS,27.1,18.2,27.9,26.4
1,1055,610513.0,AIR FORCE HS,,33.37380952380952,29.399224806201552,24.3
2,8035,610524.0,ALCOTT HS,,33.37380952380952,29.399224806201552,12.3
3,1210,609695.0,AMUNDSEN HS,33.6,32.8,20.1,20.0
4,7803,400013.0,ASPIRA CHTR - EARLY COLLEGE HS,,28.9,25.1,21.1
5,7800,400015.0,ASPIRA CHTR - RAMIREZ HS,8.7,18.8,27.4,34.3
6,7020,400018.0,AUSTIN BUS & ENTRP HS,34.4,41.1,36.3,39.5
7,1065,610501.0,AUSTIN POLY HS,,33.1,37.5,28.8
8,1230,609698.0,BOGAN HS,43.5,41.1,31.7,24.8
9,7540,610323.0,BOWEN HS,29.3,38.5,20.0,45.0
10,7270,610381.0,BRONZEVILLE HS,14.7,20.8,9.7,16.5
11,1500,609726.0,BROOKS HS,9.5,7.4,9.7,6.1
12,1850,609760.0,CARVER MILITARY,20.4,14.0,13.2,3.9
13,5640,610148.0,CHAVEZ,,33.37380952380952,29.399224806201552,26.19928571428571
14,7770,610340.0,CHGO ACAD HS,25.5,29.0,23.5,22.2
15,1790,609753.0,CHGO AGR HS,26.5,18.7,18.3,16.0
16,8047,400022.0,CHGO ARTS CONTR HS,,33.37380952380952,29.399224806201552,9.8
17,7940,400035.0,CHGO MATH & SCI ACAD CAMPUS HS,25.9,19.0,25.9,25.9
18,1800,609754.0,CHGO MILITARY ACAD HS,16.4,30.9,16.9,18.7
19,8053,400093.0,CHGO TALENT CHTR HS,,33.37380952380952,29.399224806201552,26.4
20,8022,400091.0,CHICAGO TECH ACADEMY,,33.37380952380952,29.399224806201552,32.1
21,7700,400036.0,CHICAGO VIRTUAL CHTR CAMPUS HS,,54.2,74.3,58.1
22,1010,609674.0,CHICAGO VOCATIONAL HS,41.7,39.9,30.9,21.6
23,4910,400025.0,CICS-BUCKTOWN,,33.37380952380952,29.399224806201552,26.19928571428571
24,4911,400032.0,CICS-ELLISON,24.3,16.2,28.9,21.9
25,2420,400033.0,CICS-LONGWOOD,20.8,33.6,22.2,14.5
26,7740,400034.0,CICS-NORTHTOWN,15.3,14.6,14.3,9.9
27,6620,610244.0,CLARK HS,10.8,19.0,16.3,16.9
28,1840,609759.0,CLEMENTE HS,44.1,43.8,39.6,30.3
29,1045,610499.0,COLLINS HS,,25.0,25.9,25.7
30,1860,609761.0,CORLISS HS,53.2,52.5,39.8,40.6
31,1270,609702.0,CRANE HS,47.4,54.9,47.2,44.1
32,1820,609756.0,CURIE HS,19.9,19.3,16.8,12.6
33,6630,610245.0,DOUGLASS HS,45.3,36.8,42.0,31.9
34,1030,609676.0,DUNBAR HS,34.1,23.0,23.2,16.8
35,1600,609736.0,DYETT HS,63.3,51.3,57.3,50.9
36,8058,400094.0,EPIC CHTR HS,,33.37380952380952,29.399224806201552,31.0
37,1300,609704.0,FARRAGUT HS,53.3,46.2,42.5,34.6
38,1310,609705.0,FENGER HS,63.3,52.0,44.2,39.3
39,1165,400042.0,FORD CHTR HS,,33.37380952380952,25.2,29.3
40,1330,609708.0,FOREMAN HS,35.6,38.1,25.4,19.7
41,6650,400040.0,FRAZIER CHTR,,33.37380952380952,29.399224806201552,26.19928571428571
42,1340,609709.0,GAGE PARK HS,42.9,48.2,46.7,41.4
43,1160,609693.0,GEORGE WESTINGHOUSE HS,,33.37380952380952,29.399224806201552,8.6
44,1950,609769.0,"GRAHAM,R HS",17.2,40.0,4.2,26.19928571428571
45,7600,610383.0,GREATER LAWNDALE HS,32.0,23.3,19.5,16.1
46,1200,609694.0,HANCOCK HS,41.9,34.5,22.0,13.3
47,1350,609710.0,HARLAN HS,48.6,48.8,45.4,40.0
48,1360,609711.0,HARPER HS,60.8,53.6,45.8,37.3
49,3930,609987.0,HENDRICKS,,33.37380952380952,29.399224806201552,26.19928571428571
50,1380,609712.0,HIRSCH HS,59.4,46.8,38.5,45.0
51,1940,609768.0,HOPE HS,41.9,38.1,30.9,26.7
52,1670,609741.0,HUBBARD HS,38.9,31.8,28.1,25.7
53,1390,609713.0,HYDE PARK HS,46.5,43.5,43.9,37.5
54,7680,610384.0,INFINITY HS,13.3,15.3,11.5,10.2
55,1060,609678.0,JONES HS,1.9,6.0,7.7,7.4
56,1890,609764.0,JUAREZ HS,41.0,27.7,27.3,20.8
57,1870,609762.0,JULIAN HS,37.6,41.3,35.4,32.6
58,1400,609715.0,KELLY HS,29.4,20.8,17.2,18.5
59,1410,609716.0,KELVYN PARK HS,41.4,39.1,37.4,30.1
60,1420,609718.0,KENNEDY HS,42.7,34.6,32.1,27.0
61,1710,609746.0,KENWOOD HS,29.0,19.8,16.4,10.2
62,1760,609751.0,KING HS,17.2,11.9,11.4,7.5
63,1430,609719.0,LAKE VIEW HS,18.2,15.3,13.3,9.2
64,1440,609720.0,LANE HS,6.1,7.8,6.1,3.8
65,1620,609738.0,LINCOLN PARK HS,20.5,25.1,15.7,15.1
66,7110,610391.0,LINDBLOM HS,25.2,18.2,16.1,10.9
67,4380,610029.0,LOZANO,,33.37380952380952,29.399224806201552,26.19928571428571
68,1460,609722.0,MANLEY HS,45.9,41.2,47.0,44.2
69,1085,610502.0,MARINE MILITARY HS,,20.0,23.5,25.5
70,1470,609723.0,MARSHALL HS,57.5,47.9,55.6,41.9
71,1480,609724.0,MATHER HS,42.0,36.7,30.5,26.5
72,1490,609725.0,MORGAN PARK HS,17.1,16.8,12.7,13.6
73,7630,610385.0,MULTICULTURAL ACAD SCHOLARSHIP,30.0,37.5,24.1,29.9
74,8078,400097.0,NOBLE ST CHTR-CHGO BULLS,,33.37380952380952,29.399224806201552,15.7
75,1935,400052.0,NOBLE ST CHTR-COMER,,33.37380952380952,23.0,17.5
76,1934,400053.0,NOBLE ST CHTR-GOLDER,,14.2,13.2,16.5
77,8079,400098.0,NOBLE ST CHTR-MUCHIN,,33.37380952380952,29.399224806201552,16.2
78,1930,400051.0,NOBLE ST CHTR-NOBLE,12.5,13.0,12.2,11.0
79,1931,400054.0,NOBLE ST CHTR-PRITZKER,11.5,12.7,6.5,8.0
80,1932,400055.0,NOBLE ST CHTR-RAUNER,17.7,13.2,15.0,10.9
81,1933,400056.0,NOBLE ST CHTR-ROWE CLARK,,25.6,22.0,23.9
82,1936,400057.0,NOBLE ST CHTR-UIC,,33.37380952380952,13.5,14.2
83,1140,609691.0,NORTH-GRAND HS,26.5,32.7,18.3,17.2
84,1690,609744.0,NORTHSIDE LEARNING HS,17.8,3.8,5.0,0.0
85,1740,609749.0,NORTHSIDE PREP HS,2.0,1.7,2.3,1.5
86,1105,400058.0,NTH LAWNDALE CHTR-CHRISTIANA,25.0,15.2,18.9,21.3
87,1106,400059.0,NTH LAWNDALE CHTR-COLLINS,,19.0,28.5,20.9
88,8083,610529.0,OGDEN HS,,33.37380952380952,29.399224806201552,26.4
89,1830,610389.0,ORR HS,,33.37380952380952,52.9,47.9
90,1090,609680.0,PAYTON HS,2.5,9.1,6.1,4.5
91,1961,400061.0,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,26.9,30.3,31.0,33.5
92,1962,400062.0,PERSPECTIVES CHTR CALUMET TECH,,29.5,27.5,28.9
93,1964,400066.0,PERSPECTIVES CHTR IIT,,33.37380952380952,20.8,28.8
94,1960,400064.0,PERSPECTIVES CHTR JOSLIN,11.1,15.7,18.2,9.3
