,Unnamed: 0,School ID,School Name,2012,2013,2014,2015,2016,2017,Name of School,"Elementary, Middle, or High School",Street Address,City,State,ZIP Code,Phone Number,Link ,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Community Area Name,Ward,Police District,Location
0,1,610513,AIR FORCE HS,3.0,4.6,2.5,1.1,4.1,"3,7%",Air Force Academy High School,HS,3630 S Wells St ,Chicago,IL,60609,(773) 535-1590,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610513.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,NDA,Standard,Not on Probation,Not Enough Data,Yes,Average,49.0,Strong,60,Strong,60.0,Average,55.0,Average,45,Average,54,Average,53,Average,49,93.3%,15.6,96.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,14.8,NDA,16,1.4,NDA,NDA,NDA,NDA,NDA,302,40,91.8,150000000000000,1175177.622,1880745.126,41.82814609,-87.63279369,34,ARMOUR SQUARE,11,9,"(41.82814609, -87.63279369)"
1,2,610524,ALCOTT HS,3.0,2.2,1.1,5.8,1.6,"2,6%",Alcott High School for the Humanities,HS,2957 N Hoyne Ave ,Chicago,IL,60618,(773) 534-5979,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610524.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,NDA,Standard,Not on Probation,Not Enough Data,No,Strong,70.0,NDA,NDA,Strong,67.0,Average,51.0,NDA,NDA,NDA,NDA,Strong,57,Weak,43,92.7%,7.1,96.9%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.7,13.7,NDA,16,1.3,NDA,NDA,NDA,NDA,NDA,232,33,87.6,150000000000000,1161870.5559999999,1919857.44,41.93576106,-87.68052441,5,NORTH CENTER,1,19,"(41.93576106, -87.68052441)"
2,3,609695,AMUNDSEN HS,6.3,6.6,5.3,5.0,3.9,"1,3%",Roald Amundsen High School,HS,5110 N Damen Ave ,Chicago,IL,60625,(773) 534-2320,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609695.pdf,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,51.0,Average,44,Average,43.0,Average,42.0,Weak,27,Average,41,Weak,43,Weak,41,81.1%,8.7,95.9%,99.2%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.8,13.9,14.9,14.8,1,16.7,1.8,16,64.6,49.1,1532,31,72.2,150000000000000,1162034.1570000001,1934187.196,41.97507922,-87.67952139,4,LINCOLN SQUARE,47,20,"(41.97507922, -87.67952139)"
3,6,610518,AUSTIN CCA HS,7.3,4.2,3.1,4.5,7.9,"5,6%",VOISE Academy High School,HS,231 N Pine Ave ,Chicago,IL,60644,(773) 534-0660,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610518.pdf,West Side High School Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 2,No,Average,42.0,NDA,NDA,Average,52.0,Average,52.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,84.5%,25.0,96.5%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.3,12.5,13.6,13.6,1.3,14.4,0.8,NDA,NDA,NDA,410,36,82,150000000000000,1139494.763,1901274.2580000001,41.88520477,-87.76321191,25,AUSTIN,28,15,"(41.88520477, -87.76321191)"
4,9,609698,BOGAN HS,11.9,8.5,4.4,3.5,3.1,"2,0%",William J Bogan High School,HS,3939 W 79th St ,Chicago,IL,60652,(773) 535-2180,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609698.pdf,Southwest Side High School Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,20.0,NDA,NDA,Very Weak,18.0,Weak,29.0,NDA,NDA,NDA,NDA,Weak,41,Weak,38,75.2%,5.8,94.3%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13.4,13.3,14.3,14.3,0.9,15.2,0.9,13.1,52.5,50,1656,44,67.1,150000000000000,1151315.548,1851847.8590000002,41.74934817,-87.72109673,70,ASHBURN,18,8,"(41.74934817, -87.72109673)"
5,10,610323,BOWEN HS,3.2,2.2,5.1,1.4,1.6,"1,8%",New Millennium High School of Health at Bowen,HS,2710 E 89th St ,Chicago,IL,60617,(773) 535-7650,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610323.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Very Weak,17.0,Weak,23,Weak,37.0,Weak,25.0,Weak,29,Very Weak,6,NDA,NDA,NDA,NDA,75.6%,61.8,94.7%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.1,12.3,13.9,13.2,1.1,14.7,0.8,16.7,67.2,52.4,701,47,62.1,150000000000000,1195939.937,1846527.5280000002,41.73376107,-87.55775263,46,SOUTH CHICAGO,7,4,"(41.73376107, -87.55775263)"
6,11,610381,BRONZEVILLE HS,6.6,3.2,1.2,0.2,1.9,"1,4%",Bronzeville Scholastic Academy High School,HS,4934 S Wabash Ave ,Chicago,IL,60615,(773) 535-1150,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610381.pdf,South Side High School Network,SOUTH SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Average,41.0,Weak,38,Average,42.0,Average,43.0,Weak,32,Very Weak,15,Average,51,Weak,43,92.3%,16.2,95.6%,97.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.3,13.8,15.3,15.7,1.4,16.3,1,14.7,85.3,73.2,550,42,71.1,150000000000000,1177513.255,1872170.4440000001,41.80456384,-87.62448408,38,GRAND BOULEVARD,3,2,"(41.80456384, -87.62448408)"
7,12,609726,BROOKS HS,1.5,2.0,0.9,1.5,2.7,"1,5%",Gwendolyn Brooks College Preparatory Academy High School,HS,250 E 111th St ,Chicago,IL,60628,(773) 535-9930,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609726.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Strong,64.0,NDA,NDA,Average,44.0,Average,49.0,NDA,NDA,NDA,NDA,Average,47,Average,49,87.1%,0.1,95.2%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,18,18.2,18.7,18.7,0.7,21.5,2.8,51.1,88.1,87.9,783,48,90.3,150000000000000,1180061.781,1831459.2130000002,41.69278956,-87.61638144,49,ROSELAND,9,5,"(41.69278956, -87.61638144)"
8,19,609760,CARVER MILITARY HS,1.1,2.4,1.5,1.8,0.6,"0,8%",George Washington Carver Military Academy High School,HS,13100 S Doty Ave ,Chicago,IL,60627,(773) 535-5250,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609760.pdf,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,53.0,NDA,NDA,Weak,37.0,Weak,34.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.6%,8.9,96.4%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.5,14.2,15,14.9,0.4,16.8,1.8,21.2,78.7,60.5,532,48,79.5,150000000000000,1187202.39,1818214.083,41.65627709,-87.5906566,54,RIVERDALE,9,5,"(41.65627709, -87.5906566)"
9,21,610340,CHICAGO ACADEMY HS,4.6,4.3,3.6,3.0,1.1,"2,9%",Chicago Academy High School,HS,3400 N Austin Ave ,Chicago,IL,60634,(773) 534-0146,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610340.pdf,AUSL Schools,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,58.0,Weak,35,Average,57.0,Average,53.0,Average,56,Average,57,NDA,NDA,NDA,NDA,93.1%,6.3,96.1%,97.1%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,14.6,14.4,16.3,16.1,1.5,18.4,2.1,23.9,70.1,64.2,502,30,80.6,150000000000000,1135740.091,1922002.9409999999,41.94215439,-87.77650575,17,DUNNING,38,16,"(41.94215439, -87.77650575)"
